#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,26813,27982,-,cqsA,2    ,#NULL!,0/0,100,99.14,vfdb,WP_001039912,(cqsA) CAI-1 autoinducer synthase [CAI-1 (VF0405) - Biofilm (VFC0271)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,333042,334499,+,gbpA,2    ,#NULL!,0/0,100,98.97,vfdb,WP_000744635,(gbpA) N-acetylglucosamine-binding protein GbpA [GbpA (VF0619) - Adherence (VFC0001)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,394907,396736,-,hap/vvp,2    ,#NULL!,0/0,100,99.07,vfdb,WP_000782181,(hap/vvp) hemagglutinin/proteinase HapA [HAP (VF0620) - Exoenzyme (VFC0251)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,760633,761151,+,hcp-1,2    ,#NULL!,0/0,100,98.46,vfdb,WP_001142947,(hcp-1) type VI secretion system effector Hcp-2 [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,761279,763363,+,vgrG-2,2    ,#NULL!,0/0,100,95.2,vfdb,WP_000212125,(vgrG-2) type VI secretion system substrate VgrG-2 [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,856012,856518,+,vipA/mglA,2    ,#NULL!,0/0,100,99.8,vfdb,WP_000031391,(vipA/mglA) type VI secretion system tubule-forming protein VipA [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,856562,858037,+,vipB/mglB,2    ,#NULL!,0/0,100,99.73,vfdb,WP_000108140,(vipB/mglB) type VI secretion system tubule-forming protein VipB [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,858040,858477,+,VCA0109,2    ,#NULL!,0/0,100,100,vfdb,WP_000221000,(VCA0109) type VI secretion system protein [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,858483,860252,+,vasA,2    ,#NULL!,0/0,100,99.55,vfdb,WP_000189792,(vasA) type VI secretion system protein VasA [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,860216,861232,+,vasB,2    ,#NULL!,0/0,100,99.31,vfdb,WP_000510181,(vasB) type VI secretion system protein VasB [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,861235,862722,+,vasC,2    ,#NULL!,0/0,100,98.99,vfdb,WP_001089704,(vasC) type VI secretion system protein VasC [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,862725,863201,+,vasD,2    ,#NULL!,0/0,100,99.58,vfdb,WP_001045311,(vasD) type VI secretion system protein VasD [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,863208,864542,+,vasE,2    ,#NULL!,0/0,100,99.1,vfdb,WP_000458007,(vasE) type VI secretion system protein VasE [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
GCA_032027525.1_ASM3202752v1_genomic.fna,JAVSIZ010000001.1,864545,865318,+,vasF,2    ,#NULL!,0/0,100,99.22,vfdb,WP_000083409,(vasF) type VI secretion system protein VasF [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961],
