#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	1024470	1025609	+	EMRD	1-1140/1140	===============	0/0	100.00	99.39	megares	MEG_2728	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:EMRD	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000003.1	1411	4521	+	VEXH	1-3111/3111	===============	0/0	100.00	98.46	megares	MEG_7674	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXH	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000003.1	530948	531550	-	VCER	1-603/603	===============	0/0	100.00	100.00	megares	MEG_7640	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:VCER	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000003.1	531657	533111	+	VCEC	1-1455/1455	===============	0/0	100.00	100.00	megares	MEG_7639	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VCEC	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000003.1	533125	534312	+	VCEA	1-1188/1188	========/======	3/4	99.83	98.82	megares	MEG_7637	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VCEA	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000003.1	534322	535857	+	VCEB	1-1536/1536	===============	0/0	100.00	98.50	megares	MEG_7638	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VCEB	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	129286	130671	+	VCMA	1-1386/1386	===============	0/0	100.00	98.99	megares	MEG_7641	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MATE_efflux_pumps:VCMA	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	163539	164360	-	ALMG	1-822/822	===============	0/0	100.00	98.66	megares	MEG_722	Drugs:Cationic_antimicrobial_peptides:Lipid_A_modification:ALMG	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	287265	290378	-	VEXK	1-3114/3114	===============	0/0	100.00	99.17	megares	MEG_7675	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXK	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	371878	372972	+	VEXC	1-1095/1095	===============	0/0	100.00	98.45	megares	MEG_7670	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXC	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	372972	376022	+	VEXD	1-3051/3051	===============	0/0	100.00	96.49	megares	MEG_7671	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXD	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000005.1	100946	101578	+	CRP	1-633/633	========/======	2/4	99.68	81.58	megares	MEG_2132	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CRP	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000006.1	143315	144415	+	VEXE	1-1101/1101	===============	0/0	100.00	97.73	megares	MEG_7672	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:VEXE	
