#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	163539	164360	-	almG	1-822/822	===============	0/0	100.00	98.66	card	AE003852.1:1688259-1687437	A member of the AlmEFG operon responsible for polymyxin resistance in Vibrio cholerae. AlmG is a glycyltransferase closely related to lipid A acyltransferases. Described by Henderson JC et al. 2017.	peptide
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000005.1	100946	101578	+	CRP	1-633/633	========/======	2/4	99.68	81.58	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000025.1	1961	2617	+	QnrVC7	1-657/657	===============	0/0	100.00	99.24	card	KM555152:0-657	QnrVC7 is a fluoroquinolone resistance gene in Lahey's list of qnr genes.	fluoroquinolone
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000005.1	101025	101657	+	CRP	1-633/633	========/======	2/4	99.68	82.05	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000009.1	45728	46549	+	almG	1-822/822	===============	0/0	100.00	97.93	card	AE003852.1:1688259-1687437	A member of the AlmEFG operon responsible for polymyxin resistance in Vibrio cholerae. AlmG is a glycyltransferase closely related to lipid A acyltransferases. Described by Henderson JC et al. 2017.	peptide
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000009.1	58531	59703	-	Vibrio_cholerae_varG	1-1173/1173	===============	0/0	100.00	99.32	card	AE003852.1:1674272-1675445	varG is an Ambler class B metallo-beta-lactamase found on the antibiotic resistance var regulon in Vibrio cholerae along with an antibiotic efflux pump varABCDEF. These genes are organized as a regulon under the control of VarR transcriptional activator. VarG was shown to have beta-lactamase activity against penicillins carbapenems and cephalosporins in-vitro. Described by Lin HV et al. 2017.	carbapenem
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	22949	23770	+	almG	1-822/822	===============	0/0	100.00	98.42	card	AE003852.1:1688259-1687437	A member of the AlmEFG operon responsible for polymyxin resistance in Vibrio cholerae. AlmG is a glycyltransferase closely related to lipid A acyltransferases. Described by Henderson JC et al. 2017.	peptide
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	35782	36942	-	Vibrio_cholerae_varG	1-1173/1173	========/======	1/12	98.98	98.04	card	AE003852.1:1674272-1675445	varG is an Ambler class B metallo-beta-lactamase found on the antibiotic resistance var regulon in Vibrio cholerae along with an antibiotic efflux pump varABCDEF. These genes are organized as a regulon under the control of VarR transcriptional activator. VarG was shown to have beta-lactamase activity against penicillins carbapenems and cephalosporins in-vitro. Described by Lin HV et al. 2017.	carbapenem
