#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	26813	27982	-	cqsA	1-1170/1170	===============	0/0	100.00	99.14	vfdb	NP_232914	(cqsA) CAI-1 autoinducer synthase [CAI-1 (VF0405)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	760633	761151	+	hcp-2	1-519/519	===============	0/0	100.00	97.50	vfdb	NP_232418	(hcp-2) type VI secretion system substrate Hcp-2 [VAS (SS181)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	761279	763363	+	vgrG-2	1-2085/2085	===============	0/0	100.00	95.20	vfdb	NP_232419	(vgrG-2) type VI secretion system substrate VgrG-2 [VAS (SS181)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	856012	856518	+	vipA/mglA	1-507/507	===============	0/0	100.00	99.80	vfdb	NP_232508	(vipA/mglA) type VI secretion system tubule-forming protein VipA [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	856559	858037	+	vipB/mglB	1-1479/1479	===============	0/0	100.00	99.73	vfdb	NP_232509	(vipB/mglB) type VI secretion system tubule-forming protein VipB [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	858040	858477	+	VCA0109	1-438/438	===============	0/0	100.00	100.00	vfdb	NP_232510	(VCA0109) type VI secretion system protein [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	858483	860252	+	vasA	1-1770/1770	===============	0/0	100.00	99.55	vfdb	NP_232511	(vasA) type VI secretion system protein VasA [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	860216	861232	+	vasB	1-1017/1017	===============	0/0	100.00	99.31	vfdb	NP_232512	(vasB) type VI secretion system protein VasB [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	861235	862722	+	vasC	1-1488/1488	===============	0/0	100.00	98.99	vfdb	NP_232513	(vasC) type VI secretion system protein VasC [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	862725	863201	+	vasD	1-477/477	===============	0/0	100.00	99.58	vfdb	NP_232514	(vasD) type VI secretion system protein VasD [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	863208	864542	+	vasE	1-1335/1335	===============	0/0	100.00	99.10	vfdb	NP_232515	(vasE) type VI secretion system protein VasE [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
